nome_identificador,nome_da_classe,score_relacao,nome_arquivo,media_top3_atributo
 ,min,-1,,-1
2q ,min,-1,,-1
 ,hash,-1,,-1
2q ,hash,-1,,-1
 ,combiner,-1,,-1
2q ,combiner,-1,,-1
 ,hyper,-1,,-1
2r ,hyper,-1,,-1
 ,min,-1,,-1
2r ,min,-1,,-1
 ,hash,-1,,-1
2r ,hash,-1,,-1
 ,combiner,-1,,-1
2r ,combiner,-1,,-1
 x ,hyper,-1,,-1
 x ,min,-1,,-1
 x ,hash,-1,,-1
 x ,combiner,-1,,-1
 b1 ,hyper,-1,,-1
 b1 ,min,-1,,-1
 b1 ,hash,-1,,-1
 b1 ,combiner,-1,,-1
 b2 ,hyper,-1,,-1
 b2 ,min,-1,,-1
 b2 ,hash,-1,,-1
 b2 ,combiner,-1,,-1
 den ,hyper,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 den ,hyper,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 product ,hyper,-1,,-1
 product ,min,-1,,-1
 product ,hash,-1,,-1
 product ,combiner,-1,,-1
 first,hyper,-1,,-1
sketch ,hyper,-1,,-1
 first,min,-1,,-1
sketch ,min,-1,,-1
 first,hash,-1,,-1
sketch ,hash,-1,,-1
 first,combiner,-1,,-1
sketch ,combiner,-1,,-1
 p ,hyper,-1,,-1
 p ,min,-1,,-1
 p ,hash,-1,,-1
 p ,combiner,-1,,-1
 num,hyper,-1,,-1
zero,hyper,0.35947067,,0.7358408768971761
search,hyper,0.32739285,,0.8236011068026224
bits ,hyper,-1,,-1
 num,min,-1,,-1
zero,min,0.2675555,,0.7358408768971761
search,min,0.21891977,,0.8236011068026224
bits ,min,-1,,-1
 num,hash,-1,,-1
zero,hash,0.3137629,,0.7358408768971761
search,hash,0.36261067,,0.8236011068026224
bits ,hash,-1,,-1
 num,combiner,-1,,-1
zero,combiner,0.28918186,,0.7358408768971761
search,combiner,0.33310544,,0.8236011068026224
bits ,combiner,-1,,-1
 r ,hyper,-1,,-1
 r ,min,-1,,-1
 r ,hash,-1,,-1
 r ,combiner,-1,,-1
 item,hyper,-1,,-1
in,hyper,0.26276734,,0.7485605676968893
intersection ,hyper,-1,,-1
 item,min,-1,,-1
in,min,0.24776308,,0.7485605676968893
intersection ,min,-1,,-1
 item,hash,-1,,-1
in,hash,0.25106388,,0.7485605676968893
intersection ,hash,-1,,-1
 item,combiner,-1,,-1
in,combiner,0.3132326,,0.7485605676968893
intersection ,combiner,-1,,-1
 den ,hyper,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 den ,hyper,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 product ,hyper,-1,,-1
 product ,min,-1,,-1
 product ,hash,-1,,-1
 product ,combiner,-1,,-1
 item,hyper,-1,,-1
in,hyper,0.26276734,,0.7485605676968893
intersection ,hyper,-1,,-1
 item,min,-1,,-1
in,min,0.24776308,,0.7485605676968893
intersection ,min,-1,,-1
 item,hash,-1,,-1
in,hash,0.25106388,,0.7485605676968893
intersection ,hash,-1,,-1
 item,combiner,-1,,-1
in,combiner,0.3132326,,0.7485605676968893
intersection ,combiner,-1,,-1
 sketch ,hyper,-1,,-1
 sketch ,min,-1,,-1
 sketch ,hash,-1,,-1
 sketch ,combiner,-1,,-1
 den ,hyper,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 den ,hyper,-1,,-1
 den ,min,-1,,-1
 den ,hash,-1,,-1
 den ,combiner,-1,,-1
 input,hyper,-1,,-1
buffer ,hyper,-1,,-1
 input,min,-1,,-1
buffer ,min,-1,,-1
 input,hash,-1,,-1
buffer ,hash,-1,,-1
 input,ser,-1,,-1
buffer ,ser,-1,,-1
 input,de,-1,,-1
buffer ,de,-1,,-1
 serde,hyper,-1,,-1
token ,hyper,-1,,-1
 serde,min,-1,,-1
